methanol400	23999	0.93 166%
crudeoil_lee4_09	15904	1.00 202%
procurement1large	14416	1.02 190%
crudeoil_pooling_dt3	30660	0.92 157%
mpbp_48	28368	0.95 186%
nd_netgen-3000-1-1-b-b-ns_7	33155	0.74 182%
crudeoil_lee4_10	17809	0.74 215%
chimera_selby-c16-01	2031	0.97 166%
chimera_selby-c16-02	2031	1.04 174%
gams05	17364	0.50 202%
